newsloc	newspaper	location	issues mentioning wk	issues mentioning pr	issues mentioning gd
eureka-weekly-sentinel_eureka,-nev.	eureka-weekly-sentinel	eureka,-nev.	1	0	3
the-evening-world_new-york,-n.y.	the-evening-world	new-york,-n.y.	8	3	6
oakes-weekly-republican_oakes,-dickey-county,-d.t.-[i.e.-n.d.]	oakes-weekly-republican	oakes,-dickey-county,-d.t.-[i.e.-n.d.]	4	7	7
the-mccook-tribune_mccook,-neb.	the-mccook-tribune	mccook,-neb.	3	13	5
omaha-daily-bee_omaha-[neb.]	omaha-daily-bee	omaha-[neb.]	43	45	51
copiah-signal_hazlehurst,-miss.	copiah-signal	hazlehurst,-miss.	0	0	0
the-weekly-intelligencer_lexington,-mo.	the-weekly-intelligencer	lexington,-mo.	1	0	0
the-forrest-city-times_forrest-city,-ark.	the-forrest-city-times	forrest-city,-ark.	5	3	4
news-and-citizen_morrisville,-vt.-;	news-and-citizen	morrisville,-vt.-;	0	0	2
the-ohio-democrat_logan,-o.-[ohio]	the-ohio-democrat	logan,-o.-[ohio]	1	2	4
the-kinsley-graphic_kinsley,-kan.	the-kinsley-graphic	kinsley,-kan.	4	5	4
the-hope-pioneer_hope,-n.d.	the-hope-pioneer	hope,-n.d.	5	9	9
lake-charles-commercial_lake-charles,-calcasieu-parish,-la.	lake-charles-commercial	lake-charles,-calcasieu-parish,-la.	1	1	1
keowee-courier_pickens-court-house,-s.c.	keowee-courier	pickens-court-house,-s.c.	0	0	0
the-iola-register_iola,-kan.	the-iola-register	iola,-kan.	5	8	7
the-dalles-daily-chronicle_the-dalles,-or.	the-dalles-daily-chronicle	the-dalles,-or.	10	30	9
the-evening-bulletin_maysville,-ky.	the-evening-bulletin	maysville,-ky.	15	40	16
bridgeton-pioneer_bridgeton,-n.j.	bridgeton-pioneer	bridgeton,-n.j.	0	0	5
oxford-eagle_oxford,-lafayette-co.,-miss.	oxford-eagle	oxford,-lafayette-co.,-miss.	7	6	1
the-charlotte-democrat_charlotte,-n.c.	the-charlotte-democrat	charlotte,-n.c.	1	0	1
blue-grass-blade_lexington,-ky.	blue-grass-blade	lexington,-ky.	0	0	0
fergus-county-argus_lewistown,-mont.	fergus-county-argus	lewistown,-mont.	2	8	4
the-lincoln-county-leader_white-oaks,-lincoln-county,-n.m.	the-lincoln-county-leader	white-oaks,-lincoln-county,-n.m.	1	0	0
waterbury-evening-democrat_waterbury,-conn.	waterbury-evening-democrat	waterbury,-conn.	14	38	18
new-ulm-weekly-review_new-ulm,-minn.	new-ulm-weekly-review	new-ulm,-minn.	3	11	6
emmons-county-record_williamsport,-d.t.-[i.e.-n.d.]	emmons-county-record	williamsport,-d.t.-[i.e.-n.d.]	4	10	6
the-pickens-sentinel_pickens,-s.c.	the-pickens-sentinel	pickens,-s.c.	2	2	2
lawrence-democrat_lawrenceburg,-tenn.	lawrence-democrat	lawrenceburg,-tenn.	0	0	2
the-pioneer-express_pembina,-dakota-[n.d.]	the-pioneer-express	pembina,-dakota-[n.d.]	1	2	3
the-opelousas-courier_opelousas,-la.	the-opelousas-courier	opelousas,-la.	0	2	0
union-county-courier_elk-point,-union-county,-d.t.-[s.d.]	union-county-courier	elk-point,-union-county,-d.t.-[s.d.]	4	4	5
