newspaper	date	wk
the-portland-daily-press	1890-12-10	0
the-weekly-intelligencer	1891-03-28	0
deseret-evening-news	1890-11-28	0
alexandria-gazette	1891-03-31	0
the-indianapolis-journal	1890-12-02	0
omaha-daily-bee	1890-11-26	0
western-liberal	1891-01-23	0
the-lafayette-advertiser	1891-03-14	0
santa-fe-daily-new-mexican	1890-11-08	0
the-anaconda-standard	1890-12-18	0
the-caldwell-tribune	1891-02-14	0
richmond-dispatch	1890-12-17	0
wheeling-register	1891-03-06	0
the-evening-bulletin	1891-03-26	0
the-pioche-weekly-record	1890-12-13	0
the-roanoke-times	1891-01-15	0.0117
phillipsburg-herald	1890-12-04	0
the-state-rights-democrat	1891-03-13	0
the-roanoke-times	1891-01-01	0
the-manning-times	1890-12-10	0
richmond-dispatch	1890-12-03	0
wheeling-register	1891-03-12	0
the-delta-independent	1890-11-18	0
pullman-herald	1891-03-14	0
marble-hill-press	1891-03-12	0
the-farmers'-union	1891-02-12	0
ameryka	1891-02-21	0
the-anaconda-standard	1890-12-24	0
the-helena-independent	1890-11-23	0
st	1891-02-22	0
the-evening-world	1890-12-11	0
the-caldwell-tribune	1891-02-28	0
asheville-daily-citizen	1890-11-12	0
dakota-farmers'-leader	1891-03-19	0
weekly-independent	1891-02-22	0
the-roanoke-times	1891-01-29	0
the-semi-weekly-tribune	1891-02-14	0.015
the-gold-leaf	1891-03-05	0
wood-county-reporter	1891-03-12	0
pittsburg-dispatch	1891-03-02	0
the-madison-daily-leader	1891-03-17	0
fergus-county-argus	1890-12-18	0
the-wilmington-daily-republican	1891-02-26	0
pittsburg-dispatch	1891-03-16	0
the-madison-daily-leader	1891-03-03	0
lewiston-teller	1891-03-19	0
frostburg-mining-journal	1890-12-13	0
the-wahpeton-times	1891-02-26	0
santa-fe-daily-new-mexican	1890-11-20	0
asheville-daily-citizen	1890-11-06	0
the-anaconda-standard	1890-12-30	0
the-evening-world	1890-12-05	0
fisherman-&-farmer	1890-11-07	0
turner-county-herald	1891-02-12	0
evening-journal	1891-01-02	0.0246
evening-capital-journal	1890-12-02	0
the-weekly-messenger	1891-01-17	0
the-record-union	1891-03-25	0
the-pacific-commercial-advertiser	1891-02-25	0
the-bossier-banner	1891-01-15	0
the-seattle-post-intelligencer	1890-12-12	0
herald-and-news	1891-03-19	0
daily-yellowstone-journal	1891-02-20	0
the-morning-news	1890-11-17	0
tombstone-daily-prospector	1890-12-16	0
los-angeles-herald	1891-02-07	0
the-state-chronicle	1891-02-25	0
the-morning-call	1890-11-07	0
tombstone-daily-prospector	1890-12-02	0
the-morning-news	1890-11-03	0
los-angeles-herald	1891-02-13	0
the-l'anse-sentinel	1890-11-15	0
the-wichita-daily-eagle	1890-12-18	0
the-morning-call	1890-11-13	0
the-seattle-post-intelligencer	1890-12-06	0
the-indianapolis-journal	1891-03-18	0
dziennik-chicagoski	1890-12-20	0
the-bossier-banner	1891-01-01	0
little-falls-transcript	1891-02-06	0
evening-journal	1891-01-16	0.029
evening-capital-journal	1890-12-16	0
the-weekly-messenger	1891-01-03	0
the-record-union	1891-03-31	0
the-pacific-commercial-advertiser	1891-02-19	0
the-times	1890-11-07	0
the-bossier-banner	1891-01-29	0
the-daily-critic	1890-12-05	0
new-york-tribune	1890-11-07	0
the-record-union	1891-03-19	0
the-wichita-daily-eagle	1890-12-30	0
the-climax	1890-11-05	0
alexandria-gazette	1890-12-03	0
the-indianapolis-journal	1891-03-30	0
yorkville-enquirer	1891-02-25	0
the-caucasian	1891-03-26	0
alexandria-gazette	1890-12-17	0
the-indianapolis-journal	1891-03-24	0
the-western-sentinel	1891-03-19	0
daily-yellowstone-journal	1891-02-08	0
the-l'anse-sentinel	1890-11-29	0
the-wichita-daily-eagle	1890-12-24	0
freeland-tribune	1891-01-08	0
arizona-weekly-citizen	1890-12-27	0
the-daily-critic	1890-12-11	0
kansas-agitator	1890-11-10	0
new-york-tribune	1890-11-13	0
the-times	1890-11-13	0
mower-county-transcript	1891-02-11	0
emmons-county-record	1890-12-26	0.0112
the-wichita-daily-eagle	1890-12-25	0
the-hocking-sentinel	1891-03-19	0
süd-california-deutsche-zeitung	1890-12-05	0
the-indianapolis-journal	1891-03-25	0
alexandria-gazette	1890-12-16	0
the-times	1890-11-12	0
new-york-tribune	1890-11-12	0
the-daily-critic	1890-12-10	0
the-wheeling-daily-intelligencer	1890-12-29	0
the-portland-daily-press	1891-03-23	0
the-record-union	1891-03-18	0
new-york-tribune	1890-11-06	0
the-daily-critic	1890-12-04	0
the-hickman-courier	1891-01-23	0
mower-county-transcript	1891-02-04	0
the-times	1890-11-06	0
the-pacific-commercial-advertiser	1891-02-18	0
the-indianapolis-journal	1891-03-31	0
alexandria-gazette	1890-12-02	0
catoctin-clarion	1891-02-12	0
the-state-chronicle	1891-02-18	0
rock-island-daily-argus	1890-12-29	0
the-wichita-daily-eagle	1890-12-31	0.0132
capital-city-courier	1890-12-27	0
the-indianapolis-journal	1891-03-19	0
the-seattle-post-intelligencer	1890-12-07	0
the-morning-call	1890-11-12	0
the-wichita-daily-eagle	1890-12-19	0
los-angeles-herald	1891-02-12	0
tombstone-daily-prospector	1890-12-03	0
rock-island-daily-argus	1890-12-01	0
the-morning-news	1890-11-02	0
the-princeton-union	1891-02-12	0
the-record-union	1891-03-30	0
the-wheeling-daily-intelligencer	1890-12-01	0
evening-capital-journal	1890-12-17	0
evening-journal	1891-01-17	0.0191
little-falls-transcript	1891-02-13	0
the-republican-journal	1890-11-27	0
the-pacific-commercial-advertiser	1891-02-24	0
dodge-city-times	1890-11-21	0
the-record-union	1891-03-24	0
the-wheeling-daily-intelligencer	1890-12-15	0
the-magnolia-gazette	1890-11-22	0
evening-capital-journal	1890-12-03	0
evening-journal	1891-01-03	0.024
the-morning-call	1890-11-06	0
los-angeles-herald	1891-02-06	0
the-morning-news	1890-11-16	0
rock-island-daily-argus	1890-12-15	0
tombstone-daily-prospector	1890-12-17	0
the-democrat	1891-03-05	0
daily-yellowstone-journal	1891-02-21	0
the-yakima-herald	1891-02-19	0
the-hawaiian-gazette	1891-02-10	0
yorkville-enquirer	1891-02-18	0
the-seattle-post-intelligencer	1890-12-13	0
waterbury-evening-democrat	1890-11-03	0
daily-tobacco-leaf-chronicle	1890-11-03	0
the-diamond-drill	1890-12-20	0
the-delta-independent	1890-11-25	0
the-madison-daily-leader	1891-03-02	0
pittsburg-dispatch	1891-03-17	0
the-wilmington-daily-republican	1891-02-27	0
the-bolivar-bulletin	1890-11-04	0
the-evening-world	1890-12-04	0
iron-county-register	1891-03-19	0
the-anaconda-standard	1890-12-31	0.0144
the-sully-county-watchman	1890-11-01	0
asheville-daily-citizen	1890-11-07	0
der-deutsche-correspondent	1890-12-15	0
the-maryville-times	1891-01-28	0
the-sully-county-watchman	1890-11-15	0
asheville-daily-citizen	1890-11-13	0
der-deutsche-correspondent	1890-12-01	0
st	1891-02-23	0
the-evening-world	1890-12-10	0
the-helena-independent	1890-11-22	0
the-anaconda-standard	1890-12-25	0
the-madison-daily-leader	1891-03-16	0
